1208, 13520, 4952, -9662, -1649
2884, 16000, 6404, -16442, -459
3548, 18320, 7572, -29552, 1435
4316, 17056, 10696, -32768, 3771
2692, 8148, 14084, -32768, 9243
312, 8368, 14480, -32768, 10562
-16, -704, 18380, -32768, 8988
-804, -232, 16696, -24802, 5338
396, -3128, 19336, -10859, 1330
964, -896, 19208, 246, -59
1120, 1596, 18764, 5806, 816
484, 3432, 18624, 5775, 1524
852, 4480, 19432, 2824, 1304
1096, 3036, 19752, -965, 921
1204, 1768, 19612, -4582, 1381
692, 508, 19568, -7057, 2900
48, 16, 19288, -7805, 4300
48, 16, 19288, -7805, 4300
-152, 280, 19212, -6659, 5286
-256, -604, 19204, -5435, 5931
16, 124, 21216, -4401, 7167
236, -1264, 21540, -3113, 10654
192, -1572, 21424, -1151, 15982
-3452, -1364, 20944, 952, 22986
-5676, -952, 16616, 2533, 29884
-11552, -6880, 7416, 3052, 32767
-11336, -448, 8636, 1341, 25805
-12028, 2476, 10400, 2004, 16123
-12084, 4168, 10620, 3003, 9263
-12120, 4520, 10456, 3134, 6719
-12776, 3784, 9612, 2031, 7263
-12852, 3768, 9236, 1164, 7084
-12968, 5088, 7676, 967, 6219
-13524, 5724, 9512, 1510, 4635
-13368, 4164, 7320, 1474, 3678
-14324, 5908, 7748, 440, 1886
-14692, 5396, 8280, -501, -714
-14772, 5080, 9536, -986, -2642
-15608, 3936, 8884, -678, -3632
-15612, 3528, 7048, -1595, -5858
-13652, 2728, 7484, -4748, -11326
-13500, 1912, 11176, -7333, -17968
-10924, -736, 12340, -8941, -22186
-9716, 520, 12552, -8087, -24030
-3404, -1512, 18320, 347, -27537
-2752, 1396, 14020, 2085, -24822
-584, -904, 20504, 2056, -23003
-188, 1748, 16184, -271, -19816
1528, -248, 22740, -2159, -16796
3712, -2228, 22584, -3162, -11687
2480, 672, 19392, -2706, -4313
728, -1668, 19620, -1195, 1092
-484, -1676, 17112, 102, 3426
-876, -380, 15668, 608, 1904
-488, -264, 17980, 1015, -691
72, -540, 18988, 1723, -1785
440, -280, 18812, 2152, -1679
264, 44, 18928, 1753, -1392
480, -216, 19136, 819, -1360
800, 16, 19288, 342, -870
1392, -1404, 19364, 162, 340
